card_id	quantity	language	set_code	set_name	card_number	card_name	pokemon_name	rarity	holo_pattern	listing_count	p25_total	median_total	min_total	max_total	estimated_shipping	LISTING_PRICE	unit_gross_after_shipping	unit_marketplace_fee	unit_net_after_fee	total_gross_after_shipping	total_marketplace_fee	total_net_after_fee	snapshot_created_at
725	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2002/07	Applin	Applin	Common		7	$1.99	$2.00	$1.99	$2.74	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
726	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2003/07	Applin	Applin	Uncommon		13	$2.51	$5.03	$1.79	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$6.00	$0.80	$5.20	2026-06-04 14:50:51
727	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2004/07	Applin	Applin	Uncommon		11	$2.99	$4.08	$1.99	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$3.50	$0.46	$3.04	2026-06-04 14:50:51
728	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2005/07	Applin	Applin	Rare		8	$2.37	$2.99	$2.00	$5.98	$1.00	$1.25	$1.25	$0.17	$1.08	$3.75	$0.51	$3.24	2026-06-04 14:50:51
729	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2006/07	Applin	Applin	Double Rare		11	$3.49	$3.64	$3.13	$4.98	$1.00	$2.25	$2.25	$0.30	$1.95	$6.75	$0.90	$5.85	2026-06-04 14:50:51
731	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2101/07	Milcery	Milcery	Common		4	$2.00	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
732	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2102/07	Milcery	Milcery	Common		5	$2.00	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$7.92	$1.04	$6.88	2026-06-04 14:50:51
733	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2103/07	Milcery	Milcery	Uncommon		8	$3.83	$4.08	$3.50	$5.98	$1.00	$2.75	$2.75	$0.36	$2.39	$5.50	$0.72	$4.78	2026-06-04 14:50:51
734	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2104/07	Milcery	Milcery	Uncommon		7	$3.26	$5.03	$1.99	$5.98	$1.00	$2.25	$2.25	$0.30	$1.95	$4.50	$0.60	$3.90	2026-06-04 14:50:51
735	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2105/07	Milcery	Milcery	Rare		9	$2.99	$5.98	$2.99	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$7.00	$0.92	$6.08	2026-06-04 14:50:51
736	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2106/07	Milcery	Milcery	Double Rare		9	$3.49	$4.15	$2.00	$4.91	$1.00	$2.25	$2.25	$0.30	$1.95	$6.75	$0.90	$5.85	2026-06-04 14:50:51
738	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2201/07	Floragato	Floragato	Common		5	$2.60	$2.90	$2.00	$3.91	$1.00	$1.50	$1.50	$0.20	$1.30	$6.00	$0.80	$5.20	2026-06-04 14:50:51
739	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2202/07	Floragato	Floragato	Common		8	$1.99	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$7.92	$1.04	$6.88	2026-06-04 14:50:51
740	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2203/07	Floragato	Floragato	Uncommon		8	$2.00	$2.50	$1.99	$4.08	$1.00	$0.99	$0.99	$0.13	$0.86	$0.99	$0.13	$0.86	2026-06-04 14:50:51
741	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2204/07	Floragato	Floragato	Uncommon		7	$2.99	$3.74	$1.99	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$5.25	$0.69	$4.56	2026-06-04 14:50:51
742	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2205/07	Floragato	Floragato	Rare		8	$3.42	$5.36	$2.00	$5.98	$1.00	$2.25	$2.25	$0.30	$1.95	$9.00	$1.20	$7.80	2026-06-04 14:50:51
745	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2301/07	Crocalor	Crocalor	Common		4	$2.00	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
746	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2302/07	Crocalor	Crocalor	Common		10	$2.00	$2.33	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
747	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2303/07	Crocalor	Crocalor	Uncommon		8	$4.55	$5.98	$2.00	$5.98	$1.00	$3.50	$3.50	$0.46	$3.04	$7.00	$0.92	$6.08	2026-06-04 14:50:51
748	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2304/07	Crocalor	Crocalor	Uncommon		3	$1.99	$1.99	$1.99	$4.08	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
749	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2305/07	Crocalor	Crocalor	Rare		14	$2.62	$4.95	$1.99	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$6.00	$0.80	$5.20	2026-06-04 14:50:51
750	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2306/07	Crocalor	Crocalor	Double Rare		11	$4.00	$5.18	$3.49	$19.98	$1.00	$3.00	$3.00	$0.40	$2.60	$3.00	$0.40	$2.60	2026-06-04 14:50:51
752	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2401/07	Quaxwell	Quaxwell	Common		10	$1.99	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
753	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2402/07	Quaxwell	Quaxwell	Common		6	$1.99	$2.80	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
754	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2403/07	Quaxwell	Quaxwell	Uncommon		7	$3.74	$3.91	$2.99	$5.98	$1.00	$2.50	$2.50	$0.33	$2.17	$15.00	$1.98	$13.02	2026-06-04 14:50:51
755	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2404/07	Quaxwell	Quaxwell	Uncommon		7	$4.08	$5.03	$3.74	$16.53	$1.00	$3.00	$3.00	$0.40	$2.60	$12.00	$1.60	$10.40	2026-06-04 14:50:51
756	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2405/07	Quaxwell	Quaxwell	Rare		10	$2.00	$3.21	$1.79	$9.50	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
757	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2406/07	Quaxwell	Quaxwell	Double Rare		8	$3.67	$3.84	$3.25	$7.98	$1.00	$2.50	$2.50	$0.33	$2.17	$2.50	$0.33	$2.17	2026-06-04 14:50:51
759	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2501/07	Ceruledge	Ceruledge	Common		7	$1.99	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$7.92	$1.04	$6.88	2026-06-04 14:50:51
760	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2502/07	Ceruledge	Ceruledge	Common		8	$2.00	$2.99	$1.99	$3.91	$1.00	$1.00	$1.00	$0.13	$0.87	$5.00	$0.65	$4.35	2026-06-04 14:50:51
761	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2503/07	Ceruledge	Ceruledge	Uncommon		6	$3.74	$3.99	$2.99	$5.98	$1.00	$2.50	$2.50	$0.33	$2.17	$10.00	$1.32	$8.68	2026-06-04 14:50:51
762	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2504/07	Ceruledge	Ceruledge	Uncommon		13	$1.99	$3.91	$1.79	$5.98	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
763	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2505/07	Ceruledge	Ceruledge	Rare		17	$2.80	$3.91	$2.00	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$7.00	$0.92	$6.08	2026-06-04 14:50:51
764	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2506/07	Ceruledge	Ceruledge	Double Rare		5	$3.88	$3.98	$3.79	$4.63	$1.00	$2.75	$2.75	$0.36	$2.39	$5.50	$0.72	$4.78	2026-06-04 14:50:51
766	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2601/07	Wattrel	Wattrel	Common		6	$1.99	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
767	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2602/07	Wattrel	Wattrel	Common		12	$2.00	$2.18	$1.99	$3.91	$1.00	$1.00	$1.00	$0.13	$0.87	$6.00	$0.78	$5.22	2026-06-04 14:50:51
768	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2603/07	Wattrel	Wattrel	Uncommon		7	$2.25	$3.37	$1.99	$5.98	$1.00	$1.00	$1.00	$0.13	$0.87	$1.00	$0.13	$0.87	2026-06-04 14:50:51
769	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2604/07	Wattrel	Wattrel	Uncommon		6	$4.08	$4.08	$2.00	$5.98	$1.00	$3.00	$3.00	$0.40	$2.60	$12.00	$1.60	$10.40	2026-06-04 14:50:51
770	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2605/07	Wattrel	Wattrel	Rare		11	$2.68	$3.99	$1.99	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$6.00	$0.80	$5.20	2026-06-04 14:50:51
771	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2606/07	Wattrel	Wattrel	Double Rare		11	$3.84	$4.49	$3.70	$7.98	$1.00	$2.75	$2.75	$0.36	$2.39	$8.25	$1.08	$7.17	2026-06-04 14:50:51
773	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2701/07	Cetitan	Cetitan	Common		7	$1.99	$1.99	$1.99	$2.18	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
774	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2702/07	Cetitan	Cetitan	Common		11	$1.99	$2.09	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$7.92	$1.04	$6.88	2026-06-04 14:50:51
775	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2703/07	Cetitan	Cetitan	Uncommon		11	$3.95	$4.08	$1.99	$5.98	$1.00	$2.75	$2.75	$0.36	$2.39	$5.50	$0.72	$4.78	2026-06-04 14:50:51
776	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2704/07	Cetitan	Cetitan	Uncommon		3	$2.94	$4.08	$1.79	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$7.00	$0.92	$6.08	2026-06-04 14:50:51
777	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2705/07	Cetitan	Cetitan	Rare		16	$2.63	$3.95	$1.99	$12.23	$1.00	$1.50	$1.50	$0.20	$1.30	$7.50	$1.00	$6.50	2026-06-04 14:50:51
780	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2801/07	Tatsugiri	Tatsugiri	Common		4	$2.50	$2.99	$2.00	$3.91	$1.00	$1.25	$1.25	$0.17	$1.08	$6.25	$0.85	$5.40	2026-06-04 14:50:51
781	9	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2802/07	Tatsugiri	Tatsugiri	Common		8	$1.99	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$8.91	$1.17	$7.74	2026-06-04 14:50:51
782	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2803/07	Tatsugiri	Tatsugiri	Uncommon		6	$3.54	$4.08	$2.99	$5.98	$1.00	$2.50	$2.50	$0.33	$2.17	$7.50	$0.99	$6.51	2026-06-04 14:50:51
783	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2804/07	Tatsugiri	Tatsugiri	Uncommon		9	$3.91	$4.08	$1.99	$5.98	$1.00	$2.75	$2.75	$0.36	$2.39	$5.50	$0.72	$4.78	2026-06-04 14:50:51
784	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2805/07	Tatsugiri	Tatsugiri	Rare		12	$2.38	$3.45	$1.99	$5.98	$1.00	$1.25	$1.25	$0.17	$1.08	$6.25	$0.85	$5.40	2026-06-04 14:50:51
